Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Ale ,PCTV000163==295879E2245572FA34FF,Panasonic 2016 sLD8a TV Smart TV,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,,,,,
Ju,PCTV000163==295879E2245572FA34FF,Panasonic 2016 sLD8a TV Smart TV,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,,,,,
Adilan,PCTV000163==295879E2245572FA34FF,Panasonic 2016 sLD8a TV Smart TV,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,,,,,
Alan ,NFPS5-001-F34YVTWT2QDAA71LJC8Q21TRJH,Sony PS5,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,
Casa,NFPS5-001-F34YVTWT2QDAA71LJC8Q21TRJH,Sony PS5,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,,,,,
Ale ,NFPS5-001-F34YVTWT2QDAA71LJC8Q21TRJH,Sony PS5,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,,,,,
Ju,NFPS5-001-F34YVTWT2QDAA71LJC8Q21TRJH,Sony PS5,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,,,,,
Adilan,NFPS5-001-F34YVTWT2QDAA71LJC8Q21TRJH,Sony PS5,2022-12-13T03:32:45.771Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,2022-12-13T03:34:55.879Z,,,,,
Alan ,PCTV000163==295879E2245572FA34FF,Panasonic 2016 sLD8a TV Smart TV,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,2020-12-28T02:48:11.343Z,2022-12-13T01:15:38.024Z,
Casa,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-D8EE53806DFCE42E13F9948FEF70185FC3615FDDBF07A36E935B0E36D4D4C1BC,Android DefaultWidevineL3Phone Android Phone,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,,,,,
Ale ,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-D8EE53806DFCE42E13F9948FEF70185FC3615FDDBF07A36E935B0E36D4D4C1BC,Android DefaultWidevineL3Phone Android Phone,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,,,,,
Ju,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-D8EE53806DFCE42E13F9948FEF70185FC3615FDDBF07A36E935B0E36D4D4C1BC,Android DefaultWidevineL3Phone Android Phone,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,,,,,
Adilan,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-D8EE53806DFCE42E13F9948FEF70185FC3615FDDBF07A36E935B0E36D4D4C1BC,Android DefaultWidevineL3Phone Android Phone,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,,,,,
Alan ,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,DefaultWidevineAndroidPhone,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,,,,,
Casa,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,DefaultWidevineAndroidPhone,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,,,,,
Ju,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,DefaultWidevineAndroidPhone,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,,,,,
Adilan,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-B3D1369318D48F6229A099ADF48825DC6F6FFE9282F4A2F1870BBB81DEC99209,DefaultWidevineAndroidPhone,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,2022-09-29T21:06:02.768Z,2022-12-21T16:53:43.072Z,,,,,
Ale ,PCTV000163==05A88C1C9A5811C68075,Panasonic 2016 sLD8a TV Smart TV,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,,,,,
Alan ,PCTV000163==05A88C1C9A5811C68075,Panasonic 2016 sLD8a TV Smart TV,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,2020-04-19T02:03:46.768Z,2022-11-15T23:09:06.832Z,,,,,
Alan ,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-D8EE53806DFCE42E13F9948FEF70185FC3615FDDBF07A36E935B0E36D4D4C1BC,Android DefaultWidevineL3Phone Android Phone,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,2022-12-05T02:30:35.675Z,2022-12-05T02:40:18.483Z,
Alan ,SSTV-KS20-0000000000000014265189,Samsung CE 2020 Kant-S2 DTV Smart TV,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,,,,,
Casa,SSTV-KS20-0000000000000014265189,Samsung CE 2020 Kant-S2 DTV Smart TV,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,,,,,
Ale ,SSTV-KS20-0000000000000014265189,Samsung CE 2020 Kant-S2 DTV Smart TV,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,,,,,
Ju,SSTV-KS20-0000000000000014265189,Samsung CE 2020 Kant-S2 DTV Smart TV,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,2022-09-24T15:53:41.468Z,2022-12-20T17:47:21.854Z,,,,,
